SchemaName,DisplayName,DataType,RequiredLevel,MaxLength,Precision,IsPrimaryName,IsAlternateKey,Description
clm_name,Name,SingleLineOfText,ApplicationRequired,300,,Yes,No,"Format: {scopeType} - {scopeName}."
clm_externalid,External Id,SingleLineOfText,ApplicationRequired,400,,No,Yes,"Upsert key: {scopeType}|{scopeId}."
clm_scopetype,Scope Type,Choice,ApplicationRequired,,,No,No,"Kind of scope. Option set: clm_scopetype."
clm_scopename,Scope Name,SingleLineOfText,Recommended,400,,No,No,"Display name of the failing scope."
clm_scopeid,Scope Id,SingleLineOfText,ApplicationRequired,500,,No,No,"ARM resource id / environment id / tenant id."
clm_parentscopeid,Parent Scope Id,SingleLineOfText,Optional,500,,No,No,"e.g. subscription id when scope is a vault."
clm_gaptype,Gap Type,Choice,ApplicationRequired,,,No,No,"Failure category. Option set: clm_gaptype."
clm_status,Status,Choice,ApplicationRequired,,,No,No,"Triage state. Option set: clm_gapstatus."
clm_firstdetectedon,First Detected On,DateTime,Optional,,,No,No,"First time discovery saw this gap."
clm_lastattemptedon,Last Attempted On,DateTime,Optional,,,No,No,"Most recent discovery attempt against the scope."
clm_lasthttpstatus,Last HTTP Status,WholeNumber,Optional,,0,No,No,"HTTP status returned (401/403/404/429/...)."
clm_lasterrorcode,Last Error Code,SingleLineOfText,Optional,200,,No,No,"Service-specific error code (Forbidden, AuthorizationFailed, ...)."
clm_lasterrordetail,Last Error Detail,MultipleLinesOfText,Optional,4000,,No,No,"Raw error message (truncated)."
clm_resolutionhint,Resolution Hint,MultipleLinesOfText,Optional,2000,,No,No,"Auto-generated remediation guidance."
clm_consecutivefailures,Consecutive Failures,WholeNumber,Optional,,0,No,No,"Counter used for escalation logic."
clm_severity,Severity (1-5),WholeNumber,Optional,,0,No,No,"Derived severity."
clm_assignedto,Assigned To (User),Lookup,Optional,,,No,No,"Lookup → systemuser. Created via relationship clm_coveragegap_assignedto."
clm_assignedteam,Assigned Team,Lookup,Optional,,,No,No,"Lookup → team. Created via relationship clm_coveragegap_assignedteam."
clm_sourceenvironment,Source Environment,Lookup,Optional,,,No,No,"Lookup → clm_sourceenvironment. Created via relationship clm_coveragegap_sourceenvironment."
clm_resolvedon,Resolved On,DateTime,Optional,,,No,No,"When access was confirmed restored."
clm_suppresseduntil,Suppressed Until,DateTime,Optional,,,No,No,"Reminders skipped until this date."
clm_notes,Notes,MultipleLinesOfText,Optional,4000,,No,No,"Triage notes."
